Name,price,country,earnings_ttm,marketcap,pe_ratio_ttm,revenue_ttm,total_shares,dividend_yield,potencial
Central Puerto,9.2101915,Argentina,359428750.0,1749724468.6847498,20.2629,847326606.25,189976991.10650957,1.3661471477201766e-05,Empresas de Baixo Potencial
Cemig,1.9715715,Brazil,1220532500.0,6117588849.22875,4.51744,9399489228.75,468084400.97929186,1.3661471477201766e-05,Empresas de Potencial Mediano
Patria Investments,10.90079025,Cayman Islands,147192500.0,1664681442.5600002,18.1812,392727500.0,152711996.50502402,1.3661471477201766e-05,Empresas de Baixo Potencial
Buckle,41.74112125,United States,337543750.0,2119355287.833625,9.13485,1538390000.0,50773798.69937311,1.3661471477201766e-05,Empresas de Baixo Potencial
Enel Chile,2.685909,Chile,1220532500.0,3715498611.264,2.50047,6025156775.0,468084400.97929186,1.3661471477201766e-05,Empresas de Potencial Mediano
TFS Financial,12.210409,United States,125926250.0,3398486433.35675,47.5185,379360000.0,278326994.0717588,1.3661471477201766e-05,Empresas de Baixo Potencial
Sitio Royalties,19.60618325,United States,40472500.0,3024371388.17275,21.1224,782503750.0,154255999.22273245,1.3661471477201766e-05,Empresas de Baixo Potencial
Peyto Exploration &amp; Development,10.589053365000002,Canada,358673750.0,2070380348.8365002,7.48841,891148666.25,195520815.45643434,1.3661471477201766e-05,Empresas de Baixo Potencial
OneMain Financial,44.155582,United States,953750000.0,5288558326.016,8.63262,5467500000.0,119771002.5884383,1.3661471477201766e-05,Empresas de Potencial Mediano
SIGA Technologies,6.64333875,United States,128403750.0,474130402.43840003,18.3158,216195970.0,71369294.91039427,1.3661471477201766e-05,Empresas de Baixo Potencial
Medifast,18.39676224,United States,42811250.0,201212758.296,1.57658,962726250.0,10937400.59642147,1.3661471477201766e-05,Empresas de Baixo Potencial
Global Medical REIT,9.409729774999999,United States,42227500.0,617212409.4176,30.875,172126250.0,65593000.455488645,1.3661471477201766e-05,Empresas de Baixo Potencial
Insteel Industries,29.659292999999998,United States,33221250.0,576721976.9312,11.8314,690522500.0,19444899.678869624,1.3661471477201766e-05,Empresas de Baixo Potencial
Brandywine Realty Trust,5.0765585,United States,-206865000.0,879209124.7071999,-52.23688250000001,639215000.0,173189991.7448405,1.3661471477201766e-05,Empresas de Baixo Potencial
Westlake Chemical Partners,21.201537,United States,465910000.0,746942865.6224,13.4639,1484722500.0,35230599.82030548,1.3661471477201766e-05,Empresas de Baixo Potencial
Vitesse Energy,22.73974375,United States,56130000.0,670931564.7264,-45.0921,315185000.0,29504798.827225134,1.3661471477201766e-05,Empresas de Baixo Potencial
Grupo Aval,1.9715715,Colombia,803290000.0,2224386048.678375,16.0062,4856536872.5,468084400.97929186,1.3661471477201766e-05,Empresas de Potencial Mediano
Gladstone Capital,22.97176057,United States,94856250.0,499736891.1552,25.1458,99555000.0,21754401.001716517,1.3661471477201766e-05,Empresas de Baixo Potencial
BB Seguridade Participações,6.2001161425,Brazil,1220532500.0,12035600479.682,9.00699,1293064148.75,468084400.97929186,8.630676564526888e-06,Empresas de Alto Potencial
Megacable Holdings,1.9606468985,Mexico,492597500.0,1683216119.56,21.3664,2276650802.5,468084400.97929186,1.3661471477201766e-05,Empresas de Baixo Potencial
Spok Holdings,14.5248625,United States,26643750.0,294333261.424,8.19459,172840000.0,20264099.672131147,1.3661471477201766e-05,Empresas de Baixo Potencial
Redwood Trust,7.409584775,United States,55206250.0,979665687.28,-11.7205,242792500.0,132216003.59920304,1.3661471477201766e-05,Empresas de Baixo Potencial
BCE,33.442519645000004,Canada,1220532500.0,15534204037.670837,19.4644,10562148750.0,468084400.97929186,3.3649105080002966e-06,Empresas de Muito Alto Potencial
Eagle Bancorp,20.772934499999998,United States,-21492500.0,626871075.3344,5.54177,384905000.0,30177299.954149473,1.3661471477201766e-05,Empresas de Baixo Potencial
Havertys,25.9161645,United States,63855000.0,424916228.9552,6.75186,992155000.0,16395799.191473722,1.3661471477201766e-05,Empresas de Baixo Potencial
1-800-PetMeds,3.52139814,United States,-1287500.0,72543270.4344,-12.5013,338465000.0,20600701.07108082,1.3661471477201766e-05,Empresas de Baixo Potencial
B&amp;G Foods,8.69110625,United States,1621250.0,688021900.8288001,-32.2069,2500843750.0,79163904.0,1.3661471477201766e-05,Empresas de Baixo Potencial
"Cheniere Energy
Partners",45.984286,United States,1220532500.0,15534204037.670837,4.75197,10562148750.0,468084400.97929186,4.5422366702173585e-06,Empresas de Muito Alto Potencial
First National Financial,27.44179891,Canada,290898750.0,1645611863.9252498,9.39417,559634830.0,59967346.503861174,1.3661471477201766e-05,Empresas de Baixo Potencial
CTO Realty Growth,18.13941025,United States,49320000.0,419386807.14879996,-44.1628,144158750.0,23120200.787608292,1.3661471477201766e-05,Empresas de Baixo Potencial
